Budget-Cleaned,Rating-Cleaned,Runtime-Cleaned,Num-of-Ratings-Cleaned,Gross-in-US-&-Canada-Cleaned,Gross-worldwide-Cleaned,Action,Adventure,Biography,Drama,Crime,Animation,Comedy,Family,Horror,Mystery,Thriller,History,Fantasy,Sci-Fi,Romance,Music,Sport,Musical,Documentary,War,Western,Film-Noir,Release-Year
3.50057874E7,6.7,158.0,38000.0,3.7514498E7,8.4968381E7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.0E8,7.2,157.0,37000.0,1.05043414E8,1.91729235E8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.50057874E7,6.8,118.0,117000.0,4.68098964E7,421332.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.50057874E7,7.0,102.0,10000.0,4.68098964E7,8.71224586E7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.50057874E7,7.0,106.0,9100.0,2.5408677E7,2.9666585E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.0E8,8.5,180.0,525000.0,3.2536702E8,9.5055402E8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.50057874E7,7.5,131.0,7700.0,4358312.0,7545932.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
2.2E8,6.0,105.0,57000.0,7.7926655E7,1.88196816E8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
2.0E8,5.9,95.0,6400.0,3.3974306E7,5.1276049E7,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
8.0E7,6.9,133.0,79000.0,4.0774679E7,1.04181028E8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
